
Thread 3 => 1,16'ye 6 eklendi.
Thread 3_2 => 19,12'ye 9 eklendi.
Thread 5_2 => 8,11'ye 9 eklendi.
Thread 4_2 => 19,7'ye 1 eklendi.
Thread 3_2 => 20,12'ye 7 eklendi.
Thread 5_2 => 9,6'ye 5 eklendi.
Thread 4_2 => 20,7'ye 7 eklendi.
Thread 3_2 => 20,18'ye 1 eklendi.
Thread 5_2 => 9,8'ye 1 eklendi.
Thread 3_2 => 20,19'ye 5 eklendi.
Thread 5_2 => 9,10'ye 6 eklendi.
Thread 3_2 => 20,20'ye 9 eklendi.
Thread 5_2 => 11,8'ye 6 eklendi.
Thread 3_2 => 12,18'ye 3 eklendi.
Thread 4_2 => 14,0'ye 8 eklendi.
Thread 4_2 => 18,0'ye 5 eklendi.
Thread 3_2 => 12,19'ye 9 eklendi.
Thread 3_2 => 12,20'ye 1 eklendi.
Thread 4_2 => 18,7'ye 8 eklendi.
Thread 4_2 => 19,1'ye 8 eklendi.
Thread 3_2 => 13,18'ye 4 eklendi.
Thread 3_2 => 13,19'ye 7 eklendi.
Thread 3_2 => 13,20'ye 2 eklendi.
Thread 3_2 => 16,18'ye 7 eklendi.
Thread 3_2 => 16,19'ye 3 eklendi.
Thread 3_2 => 18,12'ye 5 eklendi.
Thread 3_2 => 19,19'ye 2 eklendi.
Thread 3_2 => 19,20'ye 3 eklendi.
Thread 4_2 => 19,0'ye 6 eklendi.
Thread 4_2 => 19,2'ye 7 eklendi.
Thread 4_2 => 19,4'ye 4 eklendi.
Thread 4_2 => 19,8'ye 3 eklendi.
Thread 4_2 => 12,0'ye 7 eklendi.
Thread 4_2 => 13,0'ye 2 eklendi.
Thread 4_2 => 13,1'ye 6 eklendi.
Thread 4_2 => 13,2'ye 3 eklendi.
Thread 4_2 => 18,4'ye 7 eklendi.
Thread 4_2 => 20,0'ye 9 eklendi.
Thread 4_2 => 20,1'ye 3 eklendi.
Thread 4_2 => 20,2'ye 2 eklendi.
Thread 4_2 => 20,8'ye 4 eklendi.
Thread 4_2 => 16,1'ye 2 eklendi.
Thread 4_2 => 16,2'ye 9 eklendi.
Thread 4_2 => 18,1'ye 4 eklendi.
Thread 4_2 => 18,8'ye 9 eklendi.
Thread 4_2 => 12,1'ye 9 eklendi.
Thread 4_2 => 12,2'ye 4 eklendi.
